pair_id,split,clean_epoch_id,artifact_epoch_id,artifact_type,target_snr_db,method,snr_db,snr_gain_db,rmse,rrmse
652,test,111,emg:111,muscle,5.0,wavelet_only,5.18901127586928,0.18901127586928013,130.57058728497736,0.5502365509625745
652,test,111,emg:111,muscle,5.0,hybrid_wavelet_dae,5.148783474019419,0.14878347401941916,131.1767140140067,0.5527908251506765
653,test,475,emg:475,muscle,5.0,noisy_input,4.999999999999999,0.0,106.73601914998892,0.5623413251903492
653,test,475,emg:475,muscle,5.0,wavelet_only,5.05427540460323,0.05427540460323055,106.07113866613093,0.558838386113518
653,test,475,emg:475,muscle,5.0,hybrid_wavelet_dae,5.959126491913013,0.9591264919130138,95.5772821356006,0.5035512465449776
654,test,484,emg:484,muscle,5.0,noisy_input,4.999999999999999,0.0,188.38833868571328,0.5623413251903492
654,test,484,emg:484,muscle,5.0,wavelet_only,5.69855270588827,0.6985527058882708,173.83066075655884,0.5188864916508259
654,test,484,emg:484,muscle,5.0,hybrid_wavelet_dae,5.9524754504498825,0.9524754504498834,168.82246756137158,0.5039369782263812
655,test,329,emg:329,muscle,5.0,noisy_input,5.000000000000001,0.0,132.4087625259833,0.562341325190349
655,test,329,emg:329,muscle,5.0,wavelet_only,4.542571711407422,-0.45742828859257845,139.56873465492913,0.5927497977000687
655,test,329,emg:329,muscle,5.0,hybrid_wavelet_dae,3.620949854892934,-1.3790501451070667,155.1919656770139,0.6591018145085491
656,test,279,emg:279,muscle,5.0,noisy_input,5.000000000000001,0.0,102.78397332267645,0.5623413251903491
656,test,279,emg:279,muscle,5.0,wavelet_only,4.346093671749028,-0.6539063282509732,110.8206565084711,0.6063108169966916
656,test,279,emg:279,muscle,5.0,hybrid_wavelet_dae,4.382867007282735,-0.6171329927172655,110.35246834802662,0.6037493130766569
657,test,277,emg:277,muscle,5.0,noisy_input,4.999999999999999,0.0,136.29880614823043,0.5623413251903492
657,test,277,emg:277,muscle,5.0,wavelet_only,4.433761012626579,-0.5662389873734197,145.48023744024496,0.6002220549326223
657,test,277,emg:277,muscle,5.0,hybrid_wavelet_dae,4.371907818894817,-0.6280921811051821,146.51991595834227,0.604511558356467
658,test,349,emg:349,muscle,5.0,noisy_input,4.999999999999999,0.0,110.03929289574057,0.5623413251903491
658,test,349,emg:349,muscle,5.0,wavelet_only,4.260827908517783,-0.7391720914822164,119.81367671983163,0.6122920274160195
658,test,349,emg:349,muscle,5.0,hybrid_wavelet_dae,4.540168281914064,-0.45983171808593504,116.021740670571,0.5929138372544503
659,test,187,emg:187,muscle,5.0,noisy_input,5.000000000000001,0.0,131.934515179428,0.562341325190349
659,test,187,emg:187,muscle,5.0,wavelet_only,4.360579262500471,-0.6394207374995302,142.01344486680927,0.605300505880817
659,test,187,emg:187,muscle,5.0,hybrid_wavelet_dae,4.195210253991658,-0.8047897460083426,144.74311433658016,0.6169351107063626
660,test,65,emg:65,muscle,5.0,noisy_input,5.0,0.0,134.50662919924824,0.5623413251903491
660,test,65,emg:65,muscle,5.0,wavelet_only,4.854092311400349,-0.1459076885996513,136.7851886179519,0.5718674588141476
660,test,65,emg:65,muscle,5.0,hybrid_wavelet_dae,5.488970712231342,0.4889707122313416,127.14379015088286,0.5315589861170257
661,test,585,emg:585,muscle,5.0,noisy_input,4.999999999999999,0.0,62.886160670091776,0.5623413251903492
661,test,585,emg:585,muscle,5.0,wavelet_only,4.860638423630366,-0.13936157636963298,63.90328143780071,0.5714366338289649
661,test,585,emg:585,muscle,5.0,hybrid_wavelet_dae,4.165004412846368,-0.8349955871536308,69.23167838053043,0.6190842842179621
662,test,69,emg:69,muscle,5.0,noisy_input,5.000000000000001,0.0,45.99468538318564,0.562341325190349
662,test,69,emg:69,muscle,5.0,wavelet_only,4.582838456461877,-0.41716154353812396,48.257601153734065,0.5900082402393981
662,test,69,emg:69,muscle,5.0,hybrid_wavelet_dae,4.052310109550931,-0.9476898904490696,51.297021260464184,0.6271688712207689
663,test,410,emg:410,muscle,5.0,noisy_input,4.999999999999999,0.0,108.11029330380039,0.5623413251903491
663,test,410,emg:410,muscle,5.0,wavelet_only,5.73520180760493,0.7352018076049305,99.33606566831612,0.5167017228428217
663,test,410,emg:410,muscle,5.0,hybrid_wavelet_dae,5.2509548884801465,0.25095488848014735,105.03143549867748,0.5463264858508594
664,test,177,emg:177,muscle,5.0,noisy_input,4.999999999999999,0.0,134.71984056506446,0.5623413251903491
664,test,177,emg:177,muscle,5.0,wavelet_only,5.254634235820009,0.25463423582001,130.8277427752288,0.5460951106778731
664,test,177,emg:177,muscle,5.0,hybrid_wavelet_dae,5.812493956214889,0.8124939562148903,122.68934908830114,0.5121242043018566
665,test,591,emg:591,muscle,5.0,noisy_input,5.000000000000001,0.0,86.40821627773406,0.562341325190349
665,test,591,emg:591,muscle,5.0,wavelet_only,4.956579836101598,-0.04342016389840264,86.84124644014692,0.5651594687173019
665,test,591,emg:591,muscle,5.0,hybrid_wavelet_dae,4.264261394597369,-0.7357386054026316,94.04635550198823,0.6120500394583265
666,test,117,emg:117,muscle,5.0,noisy_input,4.999999999999999,0.0,160.12713398073595,0.5623413251903492
666,test,117,emg:117,muscle,5.0,wavelet_only,4.86581000026093,-0.13418999973906942,162.62017741326616,0.5710965018599997
666,test,117,emg:117,muscle,5.0,hybrid_wavelet_dae,4.664543930596138,-0.3354560694038611,166.43234563693716,0.5844842374514303
667,test,372,emg:372,muscle,5.0,noisy_input,4.999999999999999,0.0,86.49693789681,0.5623413251903492
667,test,372,emg:372,muscle,5.0,wavelet_only,5.309449154221701,0.30944915422170194,83.4695890727082,0.5426596648801333
667,test,372,emg:372,muscle,5.0,hybrid_wavelet_dae,4.824425736700533,-0.1755742632994659,88.2631547778937,0.5738240061456805
668,test,10,emg:10,muscle,5.0,noisy_input,5.000000000000002,0.0,152.9636182024066,0.562341325190349
668,test,10,emg:10,muscle,5.0,wavelet_only,3.9333339780350496,-1.0666660219649522,172.9503514823321,0.6358187063541958
668,test,10,emg:10,muscle,5.0,hybrid_wavelet_dae,4.161409044032571,-0.8385909559674305,168.4681068976913,0.6193405961396552
669,test,63,emg:63,muscle,5.0,noisy_input,5.0,0.0,135.76991659032396,0.5623413251903491
669,test,63,emg:63,muscle,5.0,wavelet_only,5.343943505172442,0.343943505172442,130.49875726899873,0.5405088692790169
